system:index,month,total_precipitation,year,.geo
199001,1.0,0.014315515756607056,1990.0,"{""type"":""Point"",""coordinates"":[-138.9,69.57]}"
199002,2.0,0.014829795807600021,1990.0,"{""type"":""Point"",""coordinates"":[-138.9,69.57]}"
199003,3.0,0.018205340951681137,1990.0,"{""type"":""Point"",""coordinates"":[-138.9,69.57]}"
199004,4.0,0.017831318080425262,1990.0,"{""type"":""Point"",""coordinates"":[-138.9,69.57]}"
199005,5.0,0.002270911820232868,1990.0,"{""type"":""Point"",""coordinates"":[-138.9,69.57]}"
199006,6.0,0.012141991406679153,1990.0,"{""type"":""Point"",""coordinates"":[-138.9,69.57]}"
199007,7.0,0.018922600895166397,1990.0,"{""type"":""Point"",""coordinates"":[-138.9,69.57]}"
199008,8.0,0.014731600880622864,1990.0,"{""type"":""Point"",""coordinates"":[-138.9,69.57]}"
199009,9.0,0.03505716472864151,1990.0,"{""type"":""Point"",""coordinates"":[-138.9,69.57]}"
199010,10.0,0.02628028765320778,1990.0,"{""type"":""Point"",""coordinates"":[-138.9,69.57]}"
199011,11.0,0.01476014219224453,1990.0,"{""type"":""Point"",""coordinates"":[-138.9,69.57]}"
199012,12.0,0.019070211797952652,1990.0,"{""type"":""Point"",""coordinates"":[-138.9,69.57]}"
199101,1.0,0.030754629522562027,1991.0,"{""type"":""Point"",""coordinates"":[-138.9,69.57]}"
199102,2.0,0.018796319141983986,1991.0,"{""type"":""Point"",""coordinates"":[-138.9,69.57]}"
199103,3.0,0.017550114542245865,1991.0,"{""type"":""Point"",""coordinates"":[-138.9,69.57]}"
199104,4.0,0.008755054324865341,1991.0,"{""type"":""Point"",""coordinates"":[-138.9,69.57]}"
199105,5.0,0.0128199877217412,1991.0,"{""type"":""Point"",""coordinates"":[-138.9,69.57]}"
199106,6.0,0.046449653804302216,1991.0,"{""type"":""Point"",""coordinates"":[-138.9,69.57]}"
199107,7.0,0.02479933761060238,1991.0,"{""type"":""Point"",""coordinates"":[-138.9,69.57]}"
199108,8.0,0.031160268932580948,1991.0,"{""type"":""Point"",""coordinates"":[-138.9,69.57]}"
199109,9.0,0.04894920438528061,1991.0,"{""type"":""Point"",""coordinates"":[-138.9,69.57]}"
199110,10.0,0.025568045675754547,1991.0,"{""type"":""Point"",""coordinates"":[-138.9,69.57]}"
199111,11.0,0.016233716160058975,1991.0,"{""type"":""Point"",""coordinates"":[-138.9,69.57]}"
199112,12.0,0.01208682730793953,1991.0,"{""type"":""Point"",""coordinates"":[-138.9,69.57]}"
199201,1.0,0.020691851153969765,1992.0,"{""type"":""Point"",""coordinates"":[-138.9,69.57]}"
199202,2.0,0.01993417739868164,1992.0,"{""type"":""Point"",""coordinates"":[-138.9,69.57]}"
199203,3.0,0.013511836528778076,1992.0,"{""type"":""Point"",""coordinates"":[-138.9,69.57]}"
